Benchmark,Prompt Type,Subdirectory,Line Count
GameOfLife,Spec_template,2024-05-14T15:43:04.046563,7
GameOfLife,Spec_template,2024-05-14T15:53:05.614569,7
GameOfLife,Spec_template,2024-05-14T15:35:49.257574,7
GameOfLife,Spec_template,2024-05-14T15:52:00.080470,7
GameOfLife,Spec_template,2024-05-14T15:43:34.325123,7
GameOfLife,Spec_template,2024-05-14T15:31:18.806921,7
GameOfLife,Spec_template,2024-05-14T15:46:46.062969,7
GameOfLife,Spec_template,2024-05-14T15:37:40.656246,7
GameOfLife,Spec_template,2024-05-14T15:29:29.299904,7
GameOfLife,Spec_template,2024-05-14T15:48:51.567024,7
GameOfLife,Spec_template,2024-05-14T15:36:03.812127,7
GameOfLife,Spec_template,2024-05-14T15:41:29.276217,7
GameOfLife,Spec_template,2024-05-14T15:48:22.901772,7
GameOfLife,Spec_template,2024-05-14T15:44:39.134729,7
GameOfLife,Spec_template,2024-05-14T15:45:12.718466,7
GameOfLife,Spec_template,2024-05-14T15:34:18.204591,7
GameOfLife,Spec_template,2024-05-14T15:38:09.279986,7
GameOfLife,Spec_template,2024-05-14T15:33:27.460970,7
GameOfLife,Spec_template,2024-05-14T15:30:08.620190,7
GameOfLife,Spec_template,2024-05-14T15:49:49.166089,7
GameOfLife,Spec_template,2024-05-14T15:54:15.560418,7
GameOfLife,Spec_template,2024-05-14T15:45:02.992392,7
GameOfLife,Spec_template,2024-05-17T13:40:27.947224,7
GameOfLife,Spec_template,2024-05-14T15:48:15.166532,7
GameOfLife,Spec_template,2024-05-14T15:46:54.463390,7
GameOfLife,Spec_template,2024-05-14T15:53:23.546399,7
GameOfLife,Spec_template,2024-05-14T15:43:41.380439,7
GameOfLife,Spec_template,2024-05-14T15:33:14.970356,7
GameOfLife,Spec_template,2024-05-14T15:35:25.879387,7
GameOfLife,Spec_template,2024-05-14T15:42:17.997504,7
GameOfLife,Spec_template,2024-05-14T15:49:12.440944,7
GameOfLife,Spec_template,2024-05-14T15:36:10.819029,7
GameOfLife,No_tsl,2024-08-14T12:25:57.984377,11
GameOfLife,No_tsl,2024-08-14T12:18:19.979834,22
Invaders,Spec_template,2024-05-17T13:09:46.785792,16
Invaders,Spec_template,2024-05-17T14:28:17.283344,15
Invaders,Spec_template,2024-05-17T14:43:32.348881,14
Invaders,Spec_template,2024-05-17T13:41:58.056638,14
Invaders,Spec_template,2024-05-17T14:58:24.690176,14
Invaders,Spec_template,2024-05-17T14:12:52.402777,14
Invaders,Spec_template,2024-05-17T13:25:42.818766,14
Invaders,Spec_template,2024-05-17T13:57:53.326831,16
Invaders,No_tsl,2024-08-14T12:26:25.896392,32
